Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
07/09/2025,A,4,13,0,46,46,598,1,1
07/09/2025,B,4,13,0,61,61,793,1,1
07/09/2025,C,4,13,0,0,0,0,1,1
07/09/2025,Total,12,39,0,107,107,1391,3,3
08/09/2025,A,4,13,0,67,67,871,1,1
08/09/2025,B,4,13,0,68,68,884,1,1
08/09/2025,C,4,13,0,34,34,442,1,1
08/09/2025,Total,12,39,0,169,169,2197,3,3
09/09/2025,A,4,13,0,64,64,832,1,1
09/09/2025,B,4,13,0,74,74,962,1,1
09/09/2025,C,4,13,0,69,69,897,1,1
09/09/2025,Total,12,39,0,207,207,2691,3,3
10/09/2025,A,4,13,0,53,53,689,1,1
10/09/2025,B,4,13,0,0,0,0,1,1
10/09/2025,C,4,13,0,53,53,689,1,1
10/09/2025,Total,12,39,0,106,106,1378,3,3
11/09/2025,A,4,13,0,76,76,988,1,1
11/09/2025,B,4,13,4,31,35,479,1,1
11/09/2025,C,4,13,0,23,23,299,1,1
11/09/2025,Total,12,39,4,130,134,1766,3,3
12/09/2025,A,4,13,0,95,95,1235,1,1
12/09/2025,B,4,13,0,68,68,884,1,1
12/09/2025,C,4,13,0,72,72,936,1,1
12/09/2025,Total,12,39,0,235,235,3055,3,3
13/09/2025,A,4,13,0,142,142,1846,1,1
13/09/2025,B,4,13,0,136,136,1768,1,1
13/09/2025,C,4,13,0,57,57,741,1,1
13/09/2025,Total,12,39,0,335,335,4355,3,3
14/09/2025,A,4,13,0,129,129,1677,1,1
14/09/2025,B,4,13,0,137,137,1781,1,1
14/09/2025,C,4,13,0,50,50,650,1,1
14/09/2025,Total,12,39,0,316,316,4108,3,3
15/09/2025,A,4,13,0,43,43,559,1,1
15/09/2025,B,4,13,0,0,0,0,1,1
15/09/2025,C,4,13,0,0,0,0,1,1
15/09/2025,Total,12,39,0,43,43,559,3,3
16/09/2025,A,4,13,0,31,31,403,1,1
16/09/2025,B,4,13,0,66,66,858,1,1
16/09/2025,C,4,13,0,57,57,741,1,1
16/09/2025,Total,12,39,0,154,154,2002,3,3
18/09/2025,A,4,13,0,79,79,1027,1,1
18/09/2025,B,4,13,0,92,92,1196,1,1
18/09/2025,C,4,13,0,0,0,0,1,1
18/09/2025,Total,12,39,0,171,171,2223,3,3
19/09/2025,A,4,13,0,0,0,0,1,1
19/09/2025,B,4,13,0,88,88,1144,1,1
19/09/2025,C,4,13,0,74,74,962,1,1
19/09/2025,Total,12,39,0,162,162,2106,3,3
20/09/2025,A,4,13,0,69,69,897,1,1
20/09/2025,B,4,13,14,3,17,305,1,1
20/09/2025,C,4,13,0,38,38,494,1,1
20/09/2025,Total,12,39,14,110,124,1696,3,3
21/09/2025,A,4,13,1,16,17,227,1,1
21/09/2025,B,4,13,1,49,50,656,1,1
21/09/2025,C,4,13,0,59,59,767,1,1
21/09/2025,Total,12,39,2,124,126,1650,3,3
22/09/2025,A,4,13,0,74,74,962,1,1
22/09/2025,B,4,13,0,51,51,663,1,1
22/09/2025,C,4,13,0,0,0,0,1,1
22/09/2025,Total,12,39,0,125,125,1625,3,3
23/09/2025,A,4,13,0,39,39,507,1,1
23/09/2025,B,4,13,4,0,4,76,1,1
23/09/2025,C,4,13,0,0,0,0,1,1
23/09/2025,Total,12,39,4,39,43,583,3,3
